"x [nm]","y [nm]"
4635.09855,2527.24525
1488.74071,5097.55838
1485.20197,5090.21185
2068.4088,3609.3056
4147.91488,2477.45166
3409.97077,2532.61407
3416.52598,2535.26409
3431.87694,2550.31428
2202.07373,2248.78576
2199.47841,2265.96953
3420.47596,2516.97218
2204.55058,2269.27821
1598.98733,4666.00198
2625.07633,3275.42645
2627.86429,3281.57934
3783.72533,2447.25072
3784.27273,2449.46417
2294.44401,2286.39949
2729.07376,2500.88856
2744.85545,2501.0656
2594.6159,2714.72339
3871.89926,2493.48962
3859.57696,2492.90637
3869.28951,2500.0896
1993.71583,3929.6349
1979.30931,3919.65987
2202.62255,3407.28641
2204.49197,3400.85492
2206.98098,3401.90744
3673.04349,698.94728
3640.11595,654.89038
1990.87059,3922.75142
1981.26779,3925.61147
2078.9515,2270.82693
1598.11895,4687.22724
1982.53039,3923.33972
2113.92916,2241.87465
1603.07013,4687.35292
1992.63202,3923.91104
2132.32673,2248.46503
1612.22841,4698.95897
1991.78582,3926.60244
1602.12606,4692.13736
1595.88103,4715.2281
2230.82049,3363.31751
5285.09388,2718.52044
2223.89851,3370.79132
5283.30612,2706.84993
3467.254,1624.3257
2230.43226,3364.62908
3456.81856,1641.12288
3456.91534,1627.4633
512.19902,1310.37932
3502.57698,1640.32845
502.59761,1309.29621
505.85534,1297.84851
1699.58948,4437.37929
4252.1404,2497.05435
1692.52969,4443.38149
4250.82567,2501.20201
1691.27385,4427.62839
4249.89447,2505.78114
510.02672,1313.6537
3313.51121,2440.59002
498.62296,1323.96968
3336.79545,2461.44754
3314.53834,2430.28921
1491.09155,5630.21247
1498.62021,5650.7169
3145.00609,2904.96315
1512.71442,5649.60954
3180.83738,2918.90891
2907.44775,3110.82599
3432.77144,1601.7684
2993.32951,3045.08172
3479.43886,1610.61741
2420.41141,3453.80465
3138.1988,2921.86679
3495.68318,1598.50303
3476.48399,1569.84143
4508.28601,2551.63674
5201.73867,2703.91823
5204.80185,2701.77223
2588.75034,3310.895
2871.23698,2091.45244
2593.69973,3304.96803
2873.45611,2089.14123
1655.58017,2037.15836
1683.28086,2033.821
3454.84725,1250.56217
3205.91636,2411.8386
3455.33608,1244.99815
4504.74011,2549.38953
3209.02952,2423.17289
4513.87555,2547.75483
3215.43923,2417.18823
4502.22027,2544.45897
4509.5064,2541.71092
1865.46716,2134.68976
1894.00994,2148.39899
1474.68998,5428.91826
1704.83228,4391.67899
1467.90084,5430.66439
1470.43601,5436.52295
1707.53146,2054.88113
1482.83422,5430.38905
1808.46279,4234.92792
1480.8541,5424.41837
1808.17648,4223.49356
2891.29934,2402.26821
4542.72618,2542.6302
1465.78972,5415.61793
2893.25043,2391.54662
2892.99991,2407.69761
4729.65139,2599.15225
4733.25103,2600.27193
1631.94963,4816.85668
2909.98206,2412.60594
4562.81843,2555.93618
1636.24411,4816.03838
1470.70679,5419.1684
1600.75615,4917.56207
3758.59049,2493.03161
4534.76633,2540.05764
1464.85773,5426.85057
3747.76293,2462.97538
3740.18225,2467.16573
3747.37312,2470.19181
1583.71157,4743.51316
1574.68701,4742.92643
2878.09617,2308.47029
2888.90474,2406.99473
2508.80337,2866.04007
2509.10321,2864.97731
4229.01989,2497.86705
5674.25072,2965.60155
5665.79337,2968.42321
4050.42234,2470.86663
4047.78935,2468.69949
4054.42354,2473.26605
3983.94453,2453.42957
1564.79248,5175.55493
3176.81949,1847.02171
3944.59925,2440.65387
1531.91846,5157.27954
1554.483,5169.35864
1549.51253,5127.27696
3218.70676,2815.64949
3232.18265,2819.64605
1495.91518,5619.34865
5054.31444,2662.37237
3562.38536,2442.84957
1496.64921,5609.15617
1496.7637,5617.95479
4766.45338,2518.46973
4757.74384,2525.82032
4758.87605,2519.19277
1496.29187,5613.74771
1487.06769,5622.42953
1796.43756,4197.94081
4175.90951,2462.91913
1762.82743,4202.29125
3503.92376,1465.2688
1776.01188,4202.51244
3502.8405,1474.50834
1790.20102,4181.79147
4218.04017,2480.73114
1484.88794,5435.01074
3253.30686,2425.58613
1791.09836,4133.20502
3247.29938,2431.26115
1802.22871,4120.84128
3253.38427,2428.68953
1805.44613,4114.61965
3252.29477,2440.77963
5401.99455,2798.8112
1813.81216,4121.27414
5391.91436,2797.35326
5409.44485,2784.41984
2449.45795,3001.30516
2426.29013,3003.60602
2427.55892,3003.17739
2406.38623,3029.81184
2400.08359,3043.56267
2209.27892,3367.92378
2211.28415,3366.15862
2209.83617,3375.22178
4392.81728,2528.35471
1503.2343,5781.03229
2206.12929,3379.33947
1501.45361,5765.77991
2207.29821,3377.98418
5385.85909,2772.08663
1504.70426,5778.80736
4562.13101,2566.99739
4048.12307,2475.07937
5398.25745,2770.719
705.0321,1681.34617
4224.73109,2506.61266
4615.40435,2562.0536
693.64736,1673.17089
2664.88634,2606.08195
4676.8797,2580.15614
2654.96118,2599.75112
4837.30186,2599.90315
3432.4958,2439.42262
4850.77316,2608.80007
5067.25804,2683.94328
2660.79828,2600.30305
3431.95149,2434.81418
3450.16496,2448.46064
5392.48368,2771.78436
5392.91714,2774.73136
2652.6752,2604.51705
3682.84969,2449.18829
2219.72626,3678.96742
3692.05003,2458.19691
2216.96214,3676.73665
3688.49576,2455.41963
1794.23041,4104.63269
1780.94259,4097.86138
2493.19794,2893.72609
1503.17041,5140.637
2492.93354,2878.68707
2819.95462,2402.23858
1495.55918,5155.02193
2819.4126,2385.09661
2862.34287,2402.45831
2645.68651,2636.60265
1652.05268,4583.62707
2655.13073,2616.94724
1613.1536,4658.87565
2641.45006,2632.14506
1629.32659,4651.98807
3441.7606,2442.1345
3457.455,2431.0316
3561.93437,1155.28449
4875.70903,2536.14666
2656.49093,3242.98065
2173.42953,3448.97966
3932.14695,2468.5862
3934.74614,2465.7762
1734.39844,2085.60972
3925.62408,2454.06041
1701.58762,2075.30723
1684.12548,2095.3864
1722.53346,2082.8168
1719.45516,2075.76898
2371.5998,2310.65347
1856.06126,4123.65735
2374.91972,2306.71921
1854.03333,4129.20349
2376.58044,2303.28283
1855.56489,4174.02746
2366.71659,2310.41754
4058.88822,2574.1631
2353.643,3131.49259
3353.41972,2610.51976
3654.64046,2444.12681
4915.53844,2625.68974
3652.51162,2450.06451
4936.05069,2648.87561
3336.0394,2620.03788
5602.46836,2902.36834
5614.60413,2912.29921
1778.72102,4144.65003
1780.09873,4147.88301
3023.90151,1926.07651
3032.1974,1924.89186
3697.86732,649.85534
3688.17955,643.39477
1786.43506,4133.16736
2430.7177,3022.78072
3023.31048,1905.31372
3673.4439,668.25934
3666.09033,664.27555
3588.73575,2449.76797
4597.0522,2553.89045
4586.99098,2547.41372
4602.40526,2544.75463
1932.32243,2168.39433
4585.78255,2552.2594
1926.99874,2173.7531
3105.19798,1889.35928
1680.47351,4415.19648
1541.38353,1936.56465
3091.38602,1873.41146
1526.57763,1922.45402
3087.94416,1872.42049
4592.74434,2549.98077
5814.6884,2921.05659
3089.79491,1875.92837
3085.13344,1867.20592
1551.16133,1934.09019
1538.49933,1932.56732
1539.35359,1935.23139
4598.69807,2556.3616
1536.32142,1921.12993
3934.07686,2531.40085
4796.4539,2590.08805
1934.7679,2154.80397
4013.98324,2526.84885
4799.7579,2602.1328
4079.67696,2524.71864
4760.57138,2596.4287
4217.7323,2500.60232
4601.15198,2556.4566
4560.16576,2533.90738
4535.52799,2524.09856
2250.88328,2288.92247
1937.79939,4012.65426
2261.56368,2293.7758
1933.13323,4009.49188
2259.67993,2289.33207
2254.97678,2294.97614
5010.41155,2652.6231
2257.5655,2298.43678
5013.51,2652.22866
5593.10884,2877.2377
4804.89901,2597.60467
3934.14203,2514.91462
4800.63873,2604.94999
3926.67252,2530.79789
5626.59286,2872.88163
3395.65,1707.64148
3408.49657,1707.36437
1576.96653,4716.23484
3402.10696,1688.92547
1576.69109,4707.68501
1574.51806,4712.05788
2183.51097,3450.91068
1568.46054,4708.38155
2185.87554,3453.8388
806.44936,1723.75893
1580.34456,4707.46777
1944.02842,3831.33574
784.99936,1691.37228
3457.87208,2528.68679
3415.63775,1710.06599
3449.35746,2512.2856
2177.41339,3466.33321
3420.14187,1711.35979
3450.91338,2507.01697
1573.97733,4709.73377
2178.89099,3440.38087
3407.62579,1711.42112
3444.63692,2504.63924
2507.4415,2880.23275
3421.55612,1702.75376
3450.59553,2505.69265
2510.30432,2872.79272
3426.99397,1710.846
2514.72285,2877.22302
3421.51944,1706.95297
3414.4367,1709.88345
3408.39121,1737.05842
2242.18653,3637.67053
1518.55748,5252.72323
1940.01169,3799.98018
1949.23511,3797.04952
1951.69574,3787.87296
1955.79589,3790.79882
1528.30375,5345.85989
1958.93197,3811.74453
1950.76394,3790.92085
4699.18656,2586.76211
1957.31727,3801.44764
2037.14215,2225.22948
3191.22862,1837.64122
3191.47085,1840.79385
1494.96493,5366.22637
3327.3107,2628.63395
1782.6886,4251.60674
3325.59094,2648.90888
5167.69705,2695.78026
3931.09724,2520.73034
755.08218,1718.76592
3311.99579,2727.17023
741.13313,1702.6515
3052.29779,1907.07634
3048.24824,1903.29207
3946.01356,2465.8575
4170.51641,2494.16506
4270.36752,2498.77698
4390.66896,2509.45469
4384.97626,2509.47532
4388.59543,2499.03359
3967.76056,2478.22529
3965.55329,2477.98292
3955.49166,2478.35438
3974.1259,2477.98443
3948.24883,2469.99779
3952.40149,2474.12304
3949.91,2463.39781
2778.20485,3156.8898
4653.87606,2513.59736
2781.66092,3164.57017
4668.25812,2507.75902
2764.49203,3163.35237
4394.11733,2504.84384
4392.50289,2505.22019
4388.48271,2510.80615
3580.78857,760.80023
3859.76383,2455.30197
3867.66629,2460.81113
3458.54996,1453.47984
3548.51749,816.07296
1706.16939,4325.80396
2791.39998,2392.95999
3432.98644,1634.30865
1718.8703,4345.66093
2781.13087,2391.47327
3458.64457,1628.21173
2784.27161,2386.58709
3454.43016,1635.40954
2684.8475,2570.44536
2681.56467,2588.04708
3289.92048,2433.81519
2704.62062,2585.54916
3501.79391,2442.1583
2676.14764,2586.67184
2684.41937,2584.23913
2131.44304,2266.67614
2120.52074,2238.52376
4518.56523,2556.44928
3131.42063,1895.45108
5743.05014,3008.51111
3098.12191,1886.53013
5748.07765,3025.13209
5780.85371,3002.33508
4692.97135,2538.79796
4682.40951,2524.4
1051.99986,1744.93495
1038.65157,1750.92283
4513.49487,2520.79817
2440.17415,3468.23618
1486.44379,5625.21258
2418.77822,3475.75277
4513.60144,2524.71758
1487.44388,5622.47
2420.0367,3479.30599
4528.10209,2535.66007
1481.53946,5610.42091
5635.3561,2864.91317
1732.12763,4349.12451
5633.43963,2869.92688
2117.29548,3564.04962
2115.50659,3556.46798
1637.99438,4614.69387
1660.75855,4643.23983
2110.86751,3557.02687
2547.25951,2775.61778
2106.59807,3556.16164
4312.96026,2509.09772
4316.05154,2501.93101
1493.86769,5615.06792
4309.63555,2506.05234
1487.31053,5627.81642
2550.54724,2770.34197
4312.94819,2509.24368
1490.2872,5622.26588
1651.69361,4523.52157
2556.16776,2779.13086
1488.90717,5626.16076
1630.69653,4550.86834
4312.33109,2511.73569
610.62106,1615.22735
1485.8332,5623.34159
1627.00875,4554.293
2121.08542,3551.93102
645.13532,1600.45857
1485.35142,5628.05083
1632.23356,4542.12591
2112.39814,3561.29375
1632.66204,4553.40164
2119.23469,3561.03112
2212.6623,2283.16966
598.26243,1607.36408
1637.46707,4555.00836
2210.1986,2279.83547
5647.03411,2950.97222
603.80852,1619.29981
1630.2072,4553.7427
610.25976,1612.89364
5645.66432,2960.05888
617.18481,1635.248
5644.5738,2950.58795
620.89399,1599.63745
3903.1353,2447.37293
607.81726,1600.14377
3936.94925,2496.69243
609.32785,1613.7321
3919.80031,2467.66253
613.11381,1611.82009
1825.77938,4054.71816
632.5802,1618.56663
1816.24617,4062.99644
633.93111,1618.90555
1670.12297,4625.96245
1640.05368,4591.44465
1498.66063,5184.70992
1944.15729,3837.51252
1945.07454,3817.11111
1663.70655,4621.78707
2159.46922,2252.54024
2168.75669,2257.37292
2238.55008,3606.93679
2803.32384,2275.67672
2804.71602,2266.07091
5747.01308,2874.15817
2407.97171,2322.89698
2405.76273,2322.40251
2408.9823,2318.64391
1766.32839,4324.22952
5429.96679,2792.92658
1754.86607,4317.35357
2413.2292,2373.62642
2392.67207,2315.0239
2043.55189,3647.82461
3427.63732,2543.87616
2041.43842,3664.49726
3444.78649,2529.57843
1494.70453,5684.29109
2041.2463,3669.11291
5331.86868,2756.76319
1487.70125,5682.84102
2046.75573,3664.27989
1489.674,5681.9934
2034.41116,3676.47871
1148.63952,1743.80354
1647.07968,4803.4768
1624.55412,4765.07455
2704.44458,3213.14371
2694.50695,3224.89678
3136.65327,1859.19865
2702.28462,3218.96291
2053.31324,3654.455
2695.51337,3222.90037
1695.36637,4487.50216
2055.37808,3653.66806
2690.94846,3222.27948
1684.54581,4525.42709
2052.28563,3658.95797
2698.86195,3227.80818
1633.39772,4505.32724
1778.49429,4224.93825
1740.69518,4250.2698
3993.64753,2470.68588
5716.15384,3012.20088
5710.99799,3018.61667
5724.70349,3011.59326
5707.65737,2984.95206
5721.21259,2993.62903
4383.11907,2514.85178
1817.74984,4175.5637
1810.29228,4174.55144
1725.65856,4344.34826
1726.02297,4340.44644
1597.0651,2001.54308
1590.69902,1989.99442
1603.71993,2008.80327
1595.19442,1994.46898
1576.90698,1983.10708
1583.38186,1973.42783
5103.99957,2656.73066
670.6099,1660.82448
5101.08229,2645.69532
657.73654,1652.81053
5108.05614,2639.3458
2384.63626,3104.50401
2377.20255,3114.5559
3427.92614,2445.02378
3427.17291,2449.1318
3429.56566,2446.98101
3412.99002,2457.92488
2085.49183,3839.28819
1783.05453,2102.04379
5146.56367,2695.33173
2207.60624,2253.85861
5145.76513,2707.83387
2207.94413,2256.22337
4538.26182,2552.42504
4559.6923,2550.59241
4565.90585,2588.45701
3077.47898,3007.09532
430.25693,1138.57414
4549.73814,2536.2486
2186.50389,2264.61274
2222.23313,2280.71507
2192.33659,2273.58735
2187.48888,2263.09024
2178.44101,2263.4406
2193.86761,2230.93001
2192.54848,2271.97836
2189.81052,2266.63903
2193.66877,2266.08243
2207.75456,2274.38426
2206.63182,2293.45912
3485.37494,1049.9
2211.73313,2275.05757
3453.98359,1080.38323
2206.53685,2277.49372
1472.53106,5621.14583
1446.26246,5612.33758
2559.76193,2350.81868
2542.11989,2351.25057
1756.52908,4293.04372
2521.09347,2338.29367
4144.28522,2563.11742
1772.20504,4244.39619
3768.07088,2459.02596
3196.31966,2887.79039
1476.99914,5616.75119
3183.77916,2884.47641
1471.07825,5622.09109
3187.61597,2873.77538
3172.67887,2913.68344
4939.71841,2574.86761
1479.23265,5619.85046
4942.07048,2565.91044
2068.96278,2274.42617
1507.90992,5035.25734
2094.96297,2229.35046
2858.77394,2095.82627
4833.45407,2604.44926
2688.26975,2525.66607
1966.53971,3968.36501
2688.6566,2534.31165
2438.40429,2986.53011
2537.11245,2794.43726
2433.58072,2986.45187
2432.98541,2986.97773
2426.68589,3000.47931
2427.78605,3000.57624
2429.98139,2986.89871
2437.28446,2987.03719
2433.19484,2990.56124
2783.57588,2339.91593
5426.91987,2798.0565
2423.72229,2988.80346
